CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-21902,84.23512,41.855,66.012,4,2. Potential Loyal
Cust-21903,82.82415,58.376,79.854,4,2. Potential Loyal
Cust-21904,32.60049,63.962,68.414,3,4. At Risk
Cust-21905,34.65791,80.859,73.425,2,3. Need Attention
Cust-21906,79.58792,41.855,70.842,4,2. Potential Loyal
Cust-21907,65.18398,77.236,74.391,2,3. Need Attention
Cust-21908,74.60448,63.962,71.192,4,2. Potential Loyal
Cust-21909,50.91813,89.751,46.582,2,3. Need Attention
Cust-21910,33.46609,16.241,9.026,0,7. Lost
Cust-21911,84.23512,58.376,45.048,4,2. Potential Loyal
Cust-21912,34.87506,80.859,94.382,2,3. Need Attention
Cust-21913,55.09502,58.376,63.593,3,4. At Risk
Cust-21914,39.78445,30.522,26.605,1,6. Dormant
Cust-21915,36.13293,41.855,16.688,1,6. Dormant
Cust-21916,49.01982,51.272,52.154,3,4. At Risk
Cust-21917,45.43935,51.272,55.38,3,4. At Risk
Cust-21918,36.33807,51.272,71.682,3,4. At Risk
Cust-21919,37.5389,30.522,10.596,1,6. Dormant
Cust-21920,65.18398,72.023,69.338,2,3. Need Attention
Cust-21921,60.61983,51.272,65.248,4,2. Potential Loyal
Cust-21922,84.97263,63.962,54.635,4,2. Potential Loyal
Cust-21923,64.11224,51.272,74.797,2,3. Need Attention
Cust-21924,85.71214,41.855,41.801,4,2. Potential Loyal
Cust-21925,62.04781,30.522,41.08,1,6. Dormant
Cust-21926,95.658,90.146,88.476,5,1. Loyal
Cust-21927,36.33807,30.522,72.258,6,5. One-Time Buy
Cust-21928,35.06419,16.241,7.728,0,7. Lost
Cust-21929,35.2243,16.241,26.64,0,7. Lost
Cust-21930,35.6476,30.522,9.213,0,7. Lost
Cust-21931,33.0388,30.522,29.046,6,5. One-Time Buy
Cust-21932,62.68325,68.422,84.248,2,3. Need Attention
Cust-21933,40.88821,77.236,73.052,2,3. Need Attention
Cust-21934,42.4683,51.272,70.247,3,4. At Risk
Cust-21935,49.58321,30.522,4.67,1,6. Dormant
Cust-21936,35.2243,30.522,82.601,3,4. At Risk
Cust-21937,32.81464,16.241,24.449,0,7. Lost
Cust-21938,34.47679,16.241,43.075,6,5. One-Time Buy
Cust-21939,59.03273,51.272,41.204,1,6. Dormant
Cust-21940,49.01982,79.162,78.776,2,3. Need Attention
Cust-21941,64.38242,79.162,87.977,2,3. Need Attention
Cust-21942,33.25695,41.855,35.581,6,5. One-Time Buy
Cust-21943,34.28766,63.962,36.325,3,4. At Risk
